speed,down_up,price,name,type,address,success
200 Mbps,Download,89.95,Stealth Broadband,Elite,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
20 Mbps,Upload,89.95,Stealth Broadband,Elite,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
100 Mbps,Download,49.95,Stealth Broadband,Premium,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
10 Mbps,Upload,49.95,Stealth Broadband,Premium,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
100 Mbps,Download,100,Fastwyre Broadband,ABB 100,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
10 Mbps,Upload,100,Fastwyre Broadband,ABB 100,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
50 Mbps,Download,95,Fastwyre Broadband,ABB 50,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
10 Mbps,Upload,95,Fastwyre Broadband,ABB 50,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,69.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,69.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,74.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,74.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,84.99,Viasat Internet,Unlimited Silver 25,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,89.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,89.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,90,Fastwyre Broadband,ABB 25,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
5 Mbps,Upload,90,Fastwyre Broadband,ABB 25,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"85798, Highway 121, Pierce County, Nebraska, 68767, United States",True
