speed,down_up,price,name,type,address,success
250 Mbps,Download,69.95,Cablelynx Broadband,Extreme,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
20 Mbps,Upload,69.95,Cablelynx Broadband,Extreme,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
150 Mbps,Download,59.95,Cablelynx Broadband,Turbo,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
10 Mbps,Upload,59.95,Cablelynx Broadband,Turbo,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
100 Mbps,Download,55,AT&T Internet,Internet 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
20 Mbps,Upload,55,AT&T Internet,Internet 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
100 Mbps,Download,129.99,AT&T Internet,DIRECTV ENTERTAINMENT + AT&T Internet 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
20 Mbps,Upload,129.99,AT&T Internet,DIRECTV ENTERTAINMENT + AT&T Internet 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
100 Mbps,Download,134.99,AT&T Internet,DIRECTV CHOICE™ + AT&T Internet 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
20 Mbps,Upload,134.99,AT&T Internet,DIRECTV CHOICE™ + AT&T Internet 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
100 Mbps,Download,154.99,AT&T Internet,DIRECTV ULTIMATE + AT&T  Internet 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
20 Mbps,Upload,154.99,AT&T Internet,DIRECTV ULTIMATE + AT&T  Internet 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
50 Mbps,Download,29.95,Cablelynx Broadband,Residential,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
5 Mbps,Upload,29.95,Cablelynx Broadband,Residential,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
50 Mbps,Download,39.95,Cablelynx Broadband,Enhanced,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
10 Mbps,Upload,39.95,Cablelynx Broadband,Enhanced,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Maul Road, Camden, Ouachita County, Arkansas, 71701, United States",True
