speed,down_up,price,name,type,address,success
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® GIG,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® GIG,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® Gig,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® Gig,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
400 Mbps,Download,69.99,Spectrum,Spectrum Internet® Ultra,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
20 Mbps,Upload,69.99,Spectrum,Spectrum Internet® Ultra,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
400 Mbps,Download,69.99,Spectrum,Spectrum Internet® Ultra,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
20 Mbps,Upload,69.99,Spectrum,Spectrum Internet® Ultra,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
400 Mbps,Download,94.99,Spectrum,Spectrum Internet® Ultra,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
20 Mbps,Upload,94.99,Spectrum,Spectrum Internet® Ultra,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
200 Mbps,Download,49.99,Spectrum,Spectrum Internet®,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
10 Mbps,Upload,49.99,Spectrum,Spectrum Internet®,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
200 Mbps,Download,84.98,Spectrum,Spectrum Mi Plan + Internet,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
10 Mbps,Upload,84.98,Spectrum,Spectrum Mi Plan + Internet,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
200 Mbps,Download,99.97,Spectrum,Spectrum Mi Plan + Internet + Voice,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
10 Mbps,Upload,99.97,Spectrum,Spectrum Mi Plan + Internet + Voice,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
200 Mbps,Download,99.98,Spectrum,Spectrum Internet + TV,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
10 Mbps,Upload,99.98,Spectrum,Spectrum Internet + TV,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
200 Mbps,Download,114.97,Spectrum,Spectrum Internet + TV + Voice,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
10 Mbps,Upload,114.97,Spectrum,Spectrum Internet + TV + Voice,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
115 Mbps,Download,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
23 Mbps,Upload,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
115 Mbps,Download,55,T-Mobile 5G Home Internet,Home Internet,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
23 Mbps,Upload,55,T-Mobile 5G Home Internet,Home Internet,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
100 Mbps,Download,49.99,Spectrum,Spectrum Internet®,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
10 Mbps,Upload,49.99,Spectrum,Spectrum Internet®,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
100 Mbps,Download,50,CenturyLink,Internet Only,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
100 Mbps,Download,74.99,Spectrum,Spectrum Internet®,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
10 Mbps,Upload,74.99,Spectrum,Spectrum Internet®,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"South Yellow Wood Terrace, Lecanto, Citrus County, Florida, 34461, United States",True
