speed,down_up,price,name,type,address,success
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® GIG,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® GIG,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® Gig,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® Gig,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
400 Mbps,Download,69.99,Spectrum,Spectrum Internet® Ultra,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
20 Mbps,Upload,69.99,Spectrum,Spectrum Internet® Ultra,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
400 Mbps,Download,69.99,Spectrum,Spectrum Internet® Ultra,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
20 Mbps,Upload,69.99,Spectrum,Spectrum Internet® Ultra,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
400 Mbps,Download,94.99,Spectrum,Spectrum Internet® Ultra,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
20 Mbps,Upload,94.99,Spectrum,Spectrum Internet® Ultra,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
200 Mbps,Download,49.99,Spectrum,Spectrum Internet®,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
10 Mbps,Upload,49.99,Spectrum,Spectrum Internet®,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
200 Mbps,Download,84.98,Spectrum,Spectrum Mi Plan + Internet,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
10 Mbps,Upload,84.98,Spectrum,Spectrum Mi Plan + Internet,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
200 Mbps,Download,99.97,Spectrum,Spectrum Mi Plan + Internet + Voice,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
10 Mbps,Upload,99.97,Spectrum,Spectrum Mi Plan + Internet + Voice,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
200 Mbps,Download,99.98,Spectrum,Spectrum Internet + TV,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
10 Mbps,Upload,99.98,Spectrum,Spectrum Internet + TV,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
200 Mbps,Download,114.97,Spectrum,Spectrum Internet + TV + Voice,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
10 Mbps,Upload,114.97,Spectrum,Spectrum Internet + TV + Voice,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
115 Mbps,Download,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
23 Mbps,Upload,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
115 Mbps,Download,55,T-Mobile 5G Home Internet,Home Internet,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
23 Mbps,Upload,55,T-Mobile 5G Home Internet,Home Internet,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
100 Mbps,Download,49.99,Spectrum,Spectrum Internet®,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
10 Mbps,Upload,49.99,Spectrum,Spectrum Internet®,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
100 Mbps,Download,74.99,Spectrum,Spectrum Internet®,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
10 Mbps,Upload,74.99,Spectrum,Spectrum Internet®,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
100 Mbps,Download,109.99,HDER LINK,ULTRA FASTER 100,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
5 Mbps,Upload,109.99,HDER LINK,ULTRA FASTER 100,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
100 Mbps,Download,120,WATCH Communications,WATCH ELITE,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
50 Mbps,Download,89.95,Amplex Internet,Broadband 50,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
5 Mbps,Upload,89.95,Amplex Internet,Broadband 50,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
50 Mbps,Download,89.99,HDER LINK,ULTRA FAST 50,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
5 Mbps,Upload,89.99,HDER LINK,ULTRA FAST 50,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
50 Mbps,Download,99.99,WATCH Communications,WATCH PREMIUM,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
30 Mbps,Download,79.95,Amplex Internet,Home Xtreme,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,79.95,Amplex Internet,Home Xtreme,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,69.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,69.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,74.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,74.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"Tr 81, Findlay, Hancock County, Ohio, 45840, United States",True
