speed,down_up,price,name,type,address,success
1000 Mbps,Download,189.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
1000 Mbps,Upload,189.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
250 Mbps,Download,71.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
250 Mbps,Upload,71.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
115 Mbps,Download,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"West 150th Drive, Osborne County, Kansas, United States",True
23 Mbps,Upload,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"West 150th Drive, Osborne County, Kansas, United States",True
115 Mbps,Download,55,T-Mobile 5G Home Internet,Home Internet,"West 150th Drive, Osborne County, Kansas, United States",True
23 Mbps,Upload,55,T-Mobile 5G Home Internet,Home Internet,"West 150th Drive, Osborne County, Kansas, United States",True
100 Mbps,Download,51.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
100 Mbps,Upload,51.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"West 150th Drive, Osborne County, Kansas, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"West 150th Drive, Osborne County, Kansas, United States",True
75 Mbps,Download,37.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
75 Mbps,Upload,37.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"West 150th Drive, Osborne County, Kansas, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"West 150th Drive, Osborne County, Kansas, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"West 150th Drive, Osborne County, Kansas, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"West 150th Drive, Osborne County, Kansas, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"West 150th Drive, Osborne County, Kansas, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"West 150th Drive, Osborne County, Kansas, United States",True
25 Mbps,Download,24.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
25 Mbps,Upload,24.95,Nex-Tech,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"West 150th Drive, Osborne County, Kansas, United States",True
