,street,county,state,zip
108911,4209  MORRIS AVE  BIRMINGHAM,Jefferson County,AL,352221525
108912,5  42ND ST N BIRMINGHAM,Jefferson County,AL,35222
108913,4301  MORRIS AVE  BIRMINGHAM,Jefferson County,AL,35222
108914,4272  2ND AVE S BIRMINGHAM,Jefferson County,AL,35222
108915,518  47TH ST S BIRMINGHAM,Jefferson County,AL,35222
108916,4501  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222901
108917,4330  3RD AVE S BIRMINGHAM,Jefferson County,AL,352222127
108918,4238  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222604
108919,4429  4TH AVE S BIRMINGHAM,Jefferson County,AL,35222
108920,4408  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222809
108921,4412  5TH AVE S BIRMINGHAM,Jefferson County,AL,35222
108922,4428  6TH AVE S BIRMINGHAM,Jefferson County,AL,352223464
108923,4432  6TH AVE S BIRMINGHAM,Jefferson County,AL,352223464
108924,4440  6TH AVE S BIRMINGHAM,Jefferson County,AL,352223464
108925,4413  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222808
108926,4265  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222631
108927,4232  6TH AVE S BIRMINGHAM,Jefferson County,AL,352222606
108928,4213  6TH AVE S BIRMINGHAM,Jefferson County,AL,352222605
108929,4200  7TH AVE S BIRMINGHAM,Jefferson County,AL,352222610
108930,4326  7TH AVE S BIRMINGHAM,Jefferson County,AL,352222602
108931,4417  6TH AVE S BIRMINGHAM,Jefferson County,AL,352223443
108932,4420  7TH AVE S BIRMINGHAM,Jefferson County,AL,352223406
108933,4445  6TH AVE S BIRMINGHAM,Jefferson County,AL,352223466
108934,4437  6TH CT S BIRMINGHAM,Jefferson County,AL,352223445
108935,4432  7TH AVE S BIRMINGHAM,Jefferson County,AL,352223460
108936,640  45TH ST S BIRMINGHAM,Jefferson County,AL,352223416
108937,621  45TH ST S BIRMINGHAM,Jefferson County,AL,352223415
108938,620  46TH ST S BIRMINGHAM,Jefferson County,AL,352223422
108939,614  46TH ST S BIRMINGHAM,Jefferson County,AL,352223422
108940,703  46TH ST S BIRMINGHAM,Jefferson County,AL,352223423
108941,4604  7TH CT S BIRMINGHAM,Jefferson County,AL,352223412
108942,712  47TH ST S BIRMINGHAM,Jefferson County,AL,352223430
108943,3700  1ST AVE N BIRMINGHAM,Jefferson County,AL,352221302
108944,3625  1ST AVE S BIRMINGHAM,Jefferson County,AL,352221801
108945,609  35TH ST S BIRMINGHAM,Jefferson County,AL,352222327
108946,3512  7TH AVE S BIRMINGHAM,Jefferson County,AL,352223211
108947,3501  7TH AVE S BIRMINGHAM,Jefferson County,AL,352223210
108948,3500  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223516
108949,3431  7TH CT S BIRMINGHAM,Jefferson County,AL,352223212
108950,619  34TH ST S BIRMINGHAM,Jefferson County,AL,352223115
108951,621  34TH ST S BIRMINGHAM,Jefferson County,AL,352223115
108952,3421  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222312
108953,3302  5TH AVE S BIRMINGHAM,Jefferson County,AL,35222
108954,730  34TH ST S BIRMINGHAM,Jefferson County,AL,352223104
108955,728  34TH ST S BIRMINGHAM,Jefferson County,AL,35222
108956,700  34TH ST S BIRMINGHAM,Jefferson County,AL,352223109
108957,700  34TH ST S BIRMINGHAM,Jefferson County,AL,352223108
108958,700  34TH ST S BIRMINGHAM,Jefferson County,AL,352223110
108959,700  34TH ST S BIRMINGHAM,Jefferson County,AL,352223125
108960,622  34TH ST S BIRMINGHAM,Jefferson County,AL,352223116
108961,616  34TH ST S BIRMINGHAM,Jefferson County,AL,35222
