speed,down_up,price,name,type,address,success
5000 Mbps,Download,180,AT&T Fiber,Internet 5000,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
5000 Mbps,Upload,180,AT&T Fiber,Internet 5000,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
2000 Mbps,Download,110,AT&T Fiber,Internet 2000,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
2000 Mbps,Upload,110,AT&T Fiber,Internet 2000,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
1200 Mbps,Download,70,Xfinity,Gigabit Extra,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
35 Mbps,Upload,70,Xfinity,Gigabit Extra,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
1200 Mbps,Download,79.99,Xfinity,Gigabit,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
1200 Mbps,Download,79.99,Xfinity,Gigabit,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
35 Mbps,Upload,79.99,Xfinity,Gigabit,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
1200 Mbps,Download,84.99,Xfinity,Gigabit,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
35 Mbps,Upload,84.99,Xfinity,Gigabit,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
1200 Mbps,Download,129.99,Xfinity,Signature+ More,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
1200 Mbps,Download,149.99,Xfinity,Super+ More,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
1000 Mbps,Download,80,AT&T Fiber,Internet 1000,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® GIG,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® GIG,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® Gig,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® Gig,"1272, River Road, Round Pond, Montgomery County, Tennessee, 37040, United States",True
