speed,down_up,price,name,type,address,success
200 Mbps,Download,19.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
200 Mbps,Download,69.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
115 Mbps,Download,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"477th Street, Appanoose County, Iowa, 52594, United States",True
23 Mbps,Upload,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"477th Street, Appanoose County, Iowa, 52594, United States",True
115 Mbps,Download,55,T-Mobile 5G Home Internet,Home Internet,"477th Street, Appanoose County, Iowa, 52594, United States",True
23 Mbps,Upload,55,T-Mobile 5G Home Internet,Home Internet,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,25,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,29.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,47.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,57.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,69.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"477th Street, Appanoose County, Iowa, 52594, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,19.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,19.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,25,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,29.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,29.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,39.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,39.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,39.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,47.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
50 Mbps,Download,59.99,Windstream,Internet Only,"477th Street, Appanoose County, Iowa, 52594, United States",True
