speed,down_up,price,name,type,address,success
1000 Mbps,Download,69.99,Mediacom Cable,Internet 1 GIG,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
50 Mbps,Upload,69.99,Mediacom Cable,Internet 1 GIG,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
1000 Mbps,Download,79.99,Mediacom Cable,Internet 1 Gig + Local TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
50 Mbps,Upload,79.99,Mediacom Cable,Internet 1 Gig + Local TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
1000 Mbps,Download,79.99,Mediacom Cable,Internet 1 GIG + Local TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
50 Mbps,Upload,79.99,Mediacom Cable,Internet 1 GIG + Local TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
1000 Mbps,Download,124.94,MTC Communications,The Gig,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
250 Mbps,Upload,124.94,MTC Communications,The Gig,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
500 Mbps,Download,104.94,MTC Communications,Prestige,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
150 Mbps,Upload,104.94,MTC Communications,Prestige,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
400 Mbps,Download,49.99,Mediacom Cable,Internet 400,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
30 Mbps,Upload,49.99,Mediacom Cable,Internet 400,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
400 Mbps,Download,59.99,Mediacom Cable,Internet 400 + Local TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
30 Mbps,Upload,59.99,Mediacom Cable,Internet 400 + Local TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
400 Mbps,Download,59.99,Mediacom Cable,Internet 400 + Local TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
30 Mbps,Upload,59.99,Mediacom Cable,Internet 400 + Local TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
300 Mbps,Download,84.94,MTC Communications,Premium,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
100 Mbps,Upload,84.94,MTC Communications,Premium,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
200 Mbps,Download,39.99,Mediacom Cable,Internet 200,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
10 Mbps,Upload,39.99,Mediacom Cable,Internet 200,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
200 Mbps,Download,49.99,Mediacom Cable,Internet 200 + Local TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
10 Mbps,Upload,49.99,Mediacom Cable,Internet 200 + Local TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
200 Mbps,Download,49.99,Mediacom Cable,Internet 200 + Local TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
10 Mbps,Upload,49.99,Mediacom Cable,Internet 200 + Local TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
200 Mbps,Download,74.94,MTC Communications,Preferred,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
50 Mbps,Upload,74.94,MTC Communications,Preferred,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
100 Mbps,Download,19.99,Mediacom Cable,Internet 100,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
5 Mbps,Upload,19.99,Mediacom Cable,Internet 100,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
100 Mbps,Download,29.99,Mediacom Cable,Internet 100 + Local TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
5 Mbps,Upload,29.99,Mediacom Cable,Internet 100 + Local TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
100 Mbps,Download,39.99,Mediacom Cable,Internet 100 + Local TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
5 Mbps,Upload,39.99,Mediacom Cable,Internet 100 + Local TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
100 Mbps,Download,59.99,Mediacom Cable,Internet 100 + Essential TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
5 Mbps,Upload,59.99,Mediacom Cable,Internet 100 + Essential TV,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
100 Mbps,Download,64.94,MTC Communications,Standard,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Upload,64.94,MTC Communications,Standard,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
100 Mbps,Download,69.99,Mediacom Cable,Internet 100 + Essential TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
5 Mbps,Upload,69.99,Mediacom Cable,Internet 100 + Essential TV + Phone,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,69.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,69.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,74.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,74.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"630E, Lomax, Henderson County, Illinois, 61454, United States",True
