speed,down_up,price,name,type,address,success
1000 Mbps,Download,99.95,Twin Valley Telephone,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
100 Mbps,Download,59.95,Twin Valley Telephone,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
50 Mbps,Download,90,NCKCN,Extreme Pack,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
10 Mbps,Upload,90,NCKCN,Extreme Pack,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"755, 60th Road, Macyville, Cloud County, Kansas, 67445, United States",True
