speed,down_up,price,name,type,address,success
5000 Mbps,Download,180,AT&T Fiber,Internet 5000,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
5000 Mbps,Upload,180,AT&T Fiber,Internet 5000,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
2000 Mbps,Download,110,AT&T Fiber,Internet 2000,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
2000 Mbps,Upload,110,AT&T Fiber,Internet 2000,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
1000 Mbps,Download,80,AT&T Fiber,Internet 1000,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
1000 Mbps,Download,99.95,EarthLink Fiber,Internet Only,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
1000 Mbps,Upload,99.95,EarthLink Fiber,Internet Only,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
1000 Mbps,Download,99.99,Cox Communications,Internet Gigablast,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
35 Mbps,Upload,99.99,Cox Communications,Internet Gigablast,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
1000 Mbps,Download,197.99,Cox Communications,Internet Gigablast + Contour TV Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
35 Mbps,Upload,197.99,Cox Communications,Internet Gigablast + Contour TV Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
1000 Mbps,Download,217.99,Cox Communications,Internet Gigablast + Contour TV Preferred + Voice Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
35 Mbps,Upload,217.99,Cox Communications,Internet Gigablast + Contour TV Preferred + Voice Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
500 Mbps,Download,65,AT&T Fiber,Internet 500,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
500 Mbps,Upload,65,AT&T Fiber,Internet 500,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
500 Mbps,Download,79.99,Cox Communications,Internet Ultimate 500,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
10 Mbps,Upload,79.99,Cox Communications,Internet Ultimate 500,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
500 Mbps,Download,177.99,Cox Communications,Internet Ultimate 500 + Contour TV Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
10 Mbps,Upload,177.99,Cox Communications,Internet Ultimate 500 + Contour TV Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
500 Mbps,Download,197.99,Cox Communications,Internet Ultimate 500 + Contour TV Preferred + Voice Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
10 Mbps,Upload,197.99,Cox Communications,Internet Ultimate 500 + Contour TV Preferred + Voice Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
300 Mbps,Download,55,AT&T Fiber,Internet 300,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
300 Mbps,Upload,55,AT&T Fiber,Internet 300,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
300 Mbps,Download,144.99,AT&T Fiber,DIRECTV STREAM CHOICE™ + AT&T Internet 300,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
300 Mbps,Upload,144.99,AT&T Fiber,DIRECTV STREAM CHOICE™ + AT&T Internet 300,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
250 Mbps,Download,59.99,Cox Communications,Internet Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
10 Mbps,Upload,59.99,Cox Communications,Internet Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
250 Mbps,Download,157.99,Cox Communications,Internet Preferred 250 + Contour TV Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
10 Mbps,Upload,157.99,Cox Communications,Internet Preferred 250 + Contour TV Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
250 Mbps,Download,177.99,Cox Communications,Internet Preferred 250 + Contour TV Preferred + Voice Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
10 Mbps,Upload,177.99,Cox Communications,Internet Preferred 250 + Contour TV Preferred + Voice Preferred,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
100 Mbps,Download,55,AT&T Internet,Internet 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
20 Mbps,Upload,55,AT&T Internet,Internet 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
100 Mbps,Download,79.95,EarthLink Fiber,Internet Only,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
100 Mbps,Upload,79.95,EarthLink Fiber,Internet Only,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
100 Mbps,Download,129.99,AT&T Internet,DIRECTV ENTERTAINMENT + AT&T Internet 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
20 Mbps,Upload,129.99,AT&T Internet,DIRECTV ENTERTAINMENT + AT&T Internet 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
100 Mbps,Download,134.99,AT&T Internet,DIRECTV CHOICE™ + AT&T Internet 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
20 Mbps,Upload,134.99,AT&T Internet,DIRECTV CHOICE™ + AT&T Internet 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
100 Mbps,Download,154.99,AT&T Internet,DIRECTV ULTIMATE + AT&T  Internet 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
20 Mbps,Upload,154.99,AT&T Internet,DIRECTV ULTIMATE + AT&T  Internet 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"Bayou Coquille Trail, Jefferson Parish, Louisiana, United States",True
