speed,down_up,price,name,type,address,success
5000 Mbps,Download,180,AT&T Fiber,Internet 5000,"Brandon, Rankin County, Mississippi, 39042, United States",True
5000 Mbps,Upload,180,AT&T Fiber,Internet 5000,"Brandon, Rankin County, Mississippi, 39042, United States",True
2000 Mbps,Download,110,AT&T Fiber,Internet 2000,"Brandon, Rankin County, Mississippi, 39042, United States",True
2000 Mbps,Upload,110,AT&T Fiber,Internet 2000,"Brandon, Rankin County, Mississippi, 39042, United States",True
1200 Mbps,Download,70,Xfinity,Gigabit Extra,"Brandon, Rankin County, Mississippi, 39042, United States",True
35 Mbps,Upload,70,Xfinity,Gigabit Extra,"Brandon, Rankin County, Mississippi, 39042, United States",True
1200 Mbps,Download,79.99,Xfinity,Gigabit,"Brandon, Rankin County, Mississippi, 39042, United States",True
1200 Mbps,Download,79.99,Xfinity,Gigabit,"Brandon, Rankin County, Mississippi, 39042, United States",True
35 Mbps,Upload,79.99,Xfinity,Gigabit,"Brandon, Rankin County, Mississippi, 39042, United States",True
1200 Mbps,Download,84.99,Xfinity,Gigabit,"Brandon, Rankin County, Mississippi, 39042, United States",True
35 Mbps,Upload,84.99,Xfinity,Gigabit,"Brandon, Rankin County, Mississippi, 39042, United States",True
1200 Mbps,Download,129.99,Xfinity,Signature+ More,"Brandon, Rankin County, Mississippi, 39042, United States",True
1200 Mbps,Download,149.99,Xfinity,Super+ More,"Brandon, Rankin County, Mississippi, 39042, United States",True
1000 Mbps,Download,80,AT&T Fiber,Internet 1000,"Brandon, Rankin County, Mississippi, 39042, United States",True
1000 Mbps,Download,99.95,EarthLink Fiber,Internet Only,"Brandon, Rankin County, Mississippi, 39042, United States",True
1000 Mbps,Upload,99.95,EarthLink Fiber,Internet Only,"Brandon, Rankin County, Mississippi, 39042, United States",True
900 Mbps,Download,60,Xfinity,Ultrafast,"Brandon, Rankin County, Mississippi, 39042, United States",True
20 Mbps,Upload,60,Xfinity,Ultrafast,"Brandon, Rankin County, Mississippi, 39042, United States",True
900 Mbps,Download,69.99,Xfinity,Extreme Pro,"Brandon, Rankin County, Mississippi, 39042, United States",True
15 Mbps,Upload,69.99,Xfinity,Extreme Pro,"Brandon, Rankin County, Mississippi, 39042, United States",True
900 Mbps,Download,69.99,Xfinity,Extreme Pro,"Brandon, Rankin County, Mississippi, 39042, United States",True
900 Mbps,Download,74.99,Xfinity,Ultrafast,"Brandon, Rankin County, Mississippi, 39042, United States",True
20 Mbps,Upload,74.99,Xfinity,Ultrafast,"Brandon, Rankin County, Mississippi, 39042, United States",True
900 Mbps,Download,99.99,Xfinity,Select+ More,"Brandon, Rankin County, Mississippi, 39042, United States",True
900 Mbps,Download,119.99,Xfinity,Signature+,"Brandon, Rankin County, Mississippi, 39042, United States",True
900 Mbps,Download,139.99,Xfinity,Super+,"Brandon, Rankin County, Mississippi, 39042, United States",True
600 Mbps,Download,50,Xfinity,Superfast,"Brandon, Rankin County, Mississippi, 39042, United States",True
20 Mbps,Upload,50,Xfinity,Superfast,"Brandon, Rankin County, Mississippi, 39042, United States",True
600 Mbps,Download,59.99,Xfinity,Blast!,"Brandon, Rankin County, Mississippi, 39042, United States",True
10 Mbps,Upload,59.99,Xfinity,Blast!,"Brandon, Rankin County, Mississippi, 39042, United States",True
600 Mbps,Download,59.99,Xfinity,Blast!®,"Brandon, Rankin County, Mississippi, 39042, United States",True
600 Mbps,Download,64.99,Xfinity,Superfast,"Brandon, Rankin County, Mississippi, 39042, United States",True
20 Mbps,Upload,64.99,Xfinity,Superfast,"Brandon, Rankin County, Mississippi, 39042, United States",True
600 Mbps,Download,89.99,Xfinity,Select+,"Brandon, Rankin County, Mississippi, 39042, United States",True
500 Mbps,Download,65,AT&T Fiber,Internet 500,"Brandon, Rankin County, Mississippi, 39042, United States",True
500 Mbps,Upload,65,AT&T Fiber,Internet 500,"Brandon, Rankin County, Mississippi, 39042, United States",True
300 Mbps,Download,39.99,Xfinity,Performance Pro,"Brandon, Rankin County, Mississippi, 39042, United States",True
300 Mbps,Download,39.99,Xfinity,Performance Pro,"Brandon, Rankin County, Mississippi, 39042, United States",True
300 Mbps,Download,49.99,Xfinity,Fast,"Brandon, Rankin County, Mississippi, 39042, United States",True
10 Mbps,Upload,49.99,Xfinity,Fast,"Brandon, Rankin County, Mississippi, 39042, United States",True
