speed,down_up,price,name,type,address,success
1000 Mbps,Download,99.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
1000 Mbps,Upload,99.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
500 Mbps,Download,79.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
500 Mbps,Upload,79.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
300 Mbps,Download,69.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
300 Mbps,Upload,69.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
200 Mbps,Download,59.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
200 Mbps,Upload,59.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
100 Mbps,Download,49.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
100 Mbps,Upload,49.95,Alliance Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"County Highway 21, Rock County, Minnesota, 56134, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"County Highway 21, Rock County, Minnesota, 56134, United States",True
50 Mbps,Download,79.95,MVTV Wireless,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
50 Mbps,Download,79.95,Woodstock Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"County Highway 21, Rock County, Minnesota, 56134, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"County Highway 21, Rock County, Minnesota, 56134, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"County Highway 21, Rock County, Minnesota, 56134, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"County Highway 21, Rock County, Minnesota, 56134, United States",True
35 Mbps,Download,110,LTD Broadband,HOME OFFICE,"County Highway 21, Rock County, Minnesota, 56134, United States",True
7 Mbps,Upload,110,LTD Broadband,HOME OFFICE,"County Highway 21, Rock County, Minnesota, 56134, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"County Highway 21, Rock County, Minnesota, 56134, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,59.95,MVTV Wireless,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,59.95,Woodstock Communications,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,69.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,69.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,74.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,74.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,80,LTD Broadband,ULTRA,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,80,LTD Broadband,ULTRA,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,84.99,Viasat Internet,Unlimited Silver 25,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,89.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,89.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"County Highway 21, Rock County, Minnesota, 56134, United States",True
