speed,down_up,price,name,type,address,success
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® GIG,"Fox Park Trail, Teton County, Wyoming, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® GIG,"Fox Park Trail, Teton County, Wyoming, United States",True
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® Gig,"Fox Park Trail, Teton County, Wyoming, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® Gig,"Fox Park Trail, Teton County, Wyoming, United States",True
940 Mbps,Download,65,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
940 Mbps,Upload,65,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
940 Mbps,Download,65,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
940 Mbps,Upload,65,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
940 Mbps,Download,65,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
940 Mbps,Upload,65,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
400 Mbps,Download,69.99,Spectrum,Spectrum Internet® Ultra,"Fox Park Trail, Teton County, Wyoming, United States",True
20 Mbps,Upload,69.99,Spectrum,Spectrum Internet® Ultra,"Fox Park Trail, Teton County, Wyoming, United States",True
400 Mbps,Download,69.99,Spectrum,Spectrum Internet® Ultra,"Fox Park Trail, Teton County, Wyoming, United States",True
20 Mbps,Upload,69.99,Spectrum,Spectrum Internet® Ultra,"Fox Park Trail, Teton County, Wyoming, United States",True
400 Mbps,Download,94.99,Spectrum,Spectrum Internet® Ultra,"Fox Park Trail, Teton County, Wyoming, United States",True
20 Mbps,Upload,94.99,Spectrum,Spectrum Internet® Ultra,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Download,49.99,Spectrum,Spectrum Internet®,"Fox Park Trail, Teton County, Wyoming, United States",True
10 Mbps,Upload,49.99,Spectrum,Spectrum Internet®,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Download,50,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Upload,50,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Download,50,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Upload,50,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Download,50,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Upload,50,CenturyLink Fiber Gigabit,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Download,84.98,Spectrum,Spectrum Mi Plan + Internet,"Fox Park Trail, Teton County, Wyoming, United States",True
10 Mbps,Upload,84.98,Spectrum,Spectrum Mi Plan + Internet,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Download,99.97,Spectrum,Spectrum Mi Plan + Internet + Voice,"Fox Park Trail, Teton County, Wyoming, United States",True
10 Mbps,Upload,99.97,Spectrum,Spectrum Mi Plan + Internet + Voice,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Download,99.98,Spectrum,Spectrum Internet + TV,"Fox Park Trail, Teton County, Wyoming, United States",True
10 Mbps,Upload,99.98,Spectrum,Spectrum Internet + TV,"Fox Park Trail, Teton County, Wyoming, United States",True
200 Mbps,Download,114.97,Spectrum,Spectrum Internet + TV + Voice,"Fox Park Trail, Teton County, Wyoming, United States",True
10 Mbps,Upload,114.97,Spectrum,Spectrum Internet + TV + Voice,"Fox Park Trail, Teton County, Wyoming, United States",True
115 Mbps,Download,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"Fox Park Trail, Teton County, Wyoming, United States",True
23 Mbps,Upload,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"Fox Park Trail, Teton County, Wyoming, United States",True
115 Mbps,Download,55,T-Mobile 5G Home Internet,Home Internet,"Fox Park Trail, Teton County, Wyoming, United States",True
23 Mbps,Upload,55,T-Mobile 5G Home Internet,Home Internet,"Fox Park Trail, Teton County, Wyoming, United States",True
100 Mbps,Download,49.99,Spectrum,Spectrum Internet®,"Fox Park Trail, Teton County, Wyoming, United States",True
10 Mbps,Upload,49.99,Spectrum,Spectrum Internet®,"Fox Park Trail, Teton County, Wyoming, United States",True
100 Mbps,Download,50,CenturyLink,Internet Only,"Fox Park Trail, Teton County, Wyoming, United States",True
100 Mbps,Download,74.99,Spectrum,Spectrum Internet®,"Fox Park Trail, Teton County, Wyoming, United States",True
10 Mbps,Upload,74.99,Spectrum,Spectrum Internet®,"Fox Park Trail, Teton County, Wyoming, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"Fox Park Trail, Teton County, Wyoming, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"Fox Park Trail, Teton County, Wyoming, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Fox Park Trail, Teton County, Wyoming, United States",True
