speed,down_up,price,name,type,address,success
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"Harlan County, Kentucky, 40843, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"Harlan County, Kentucky, 40843, United States",True
50 Mbps,Download,99,Harlan Community Television,PALLADIUM,"Harlan County, Kentucky, 40843, United States",True
5 Mbps,Upload,99,Harlan Community Television,PALLADIUM,"Harlan County, Kentucky, 40843, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Harlan County, Kentucky, 40843, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Harlan County, Kentucky, 40843, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"Harlan County, Kentucky, 40843, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"Harlan County, Kentucky, 40843, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"Harlan County, Kentucky, 40843, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"Harlan County, Kentucky, 40843, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"Harlan County, Kentucky, 40843, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"Harlan County, Kentucky, 40843, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"Harlan County, Kentucky, 40843, United States",True
25 Mbps,Download,82.95,Harlan Community Television,TITANIUM,"Harlan County, Kentucky, 40843, United States",True
3 Mbps,Upload,82.95,Harlan Community Television,TITANIUM,"Harlan County, Kentucky, 40843, United States",True
25 Mbps,Download,84.99,Viasat Internet,Unlimited Silver 25,"Harlan County, Kentucky, 40843, United States",True
