speed,down_up,price,name,type,address,success
1200 Mbps,Download,70,Xfinity,Gigabit Extra,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
35 Mbps,Upload,70,Xfinity,Gigabit Extra,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1200 Mbps,Download,79.99,Xfinity,Gigabit,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1200 Mbps,Download,79.99,Xfinity,Gigabit,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
35 Mbps,Upload,79.99,Xfinity,Gigabit,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1200 Mbps,Download,84.99,Xfinity,Gigabit,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
35 Mbps,Upload,84.99,Xfinity,Gigabit,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1200 Mbps,Download,129.99,Xfinity,Signature+ More,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1200 Mbps,Download,149.99,Xfinity,Super+ More,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,49.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,49.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,55,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,59.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,59.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,69.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,69.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,69.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,77.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,77.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
1000 Mbps,Download,89.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
900 Mbps,Download,60,Xfinity,Ultrafast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
20 Mbps,Upload,60,Xfinity,Ultrafast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
900 Mbps,Download,69.99,Xfinity,Extreme Pro,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
15 Mbps,Upload,69.99,Xfinity,Extreme Pro,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
900 Mbps,Download,69.99,Xfinity,Extreme Pro,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
900 Mbps,Download,74.99,Xfinity,Ultrafast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
20 Mbps,Upload,74.99,Xfinity,Ultrafast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
900 Mbps,Download,99.99,Xfinity,Select+ More,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
900 Mbps,Download,119.99,Xfinity,Signature+,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
900 Mbps,Download,139.99,Xfinity,Super+,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
600 Mbps,Download,50,Xfinity,Superfast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
20 Mbps,Upload,50,Xfinity,Superfast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
600 Mbps,Download,59.99,Xfinity,Blast!,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
10 Mbps,Upload,59.99,Xfinity,Blast!,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
600 Mbps,Download,59.99,Xfinity,Blast!®,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
600 Mbps,Download,64.99,Xfinity,Superfast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
20 Mbps,Upload,64.99,Xfinity,Superfast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
600 Mbps,Download,89.99,Xfinity,Select+,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,45,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,49.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,49.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,59.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,67.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,67.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
400 Mbps,Download,79.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
300 Mbps,Download,39.99,Xfinity,Performance Pro,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
300 Mbps,Download,39.99,Xfinity,Performance Pro,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
300 Mbps,Download,49.99,Xfinity,Fast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
10 Mbps,Upload,49.99,Xfinity,Fast,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
300 Mbps,Download,54.99,Xfinity,Choice Double Play + Speed Increase to Performance Pro Internet,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
300 Mbps,Download,79.99,Xfinity,Standard+,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
300 Mbps,Download,89.99,Xfinity,Standard+ More,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,19.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,19.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,25,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,29.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,47.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,57.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,69.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,69.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
200 Mbps,Download,69.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,25,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,29.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,40,Xfinity,Connect More,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
5 Mbps,Upload,40,Xfinity,Connect More,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,47.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,57.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,69.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,19.99,Xfinity,Connect,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
10 Mbps,Upload,19.99,Xfinity,Connect,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,19.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,19.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,20,Xfinity,Connect,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
5 Mbps,Upload,20,Xfinity,Connect,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,25,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,29.99,Xfinity,Performance Starter,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
5 Mbps,Upload,29.99,Xfinity,Performance Starter,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,29.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,29.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,39.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,47.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
50 Mbps,Download,59.99,Windstream,Internet Only,"Harvest Lane, Monroe, Walton County, Georgia, 30655, United States",True
