speed,down_up,price,name,type,address,success
940 Mbps,Download,87,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
15 Mbps,Upload,87,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
940 Mbps,Download,87.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
15 Mbps,Upload,87.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
940 Mbps,Download,87.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
15 Mbps,Upload,87.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
115 Mbps,Download,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"Pointe Coupee Parish, Louisiana, 70732, United States",True
23 Mbps,Upload,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"Pointe Coupee Parish, Louisiana, 70732, United States",True
115 Mbps,Download,55,T-Mobile 5G Home Internet,Home Internet,"Pointe Coupee Parish, Louisiana, 70732, United States",True
23 Mbps,Upload,55,T-Mobile 5G Home Internet,Home Internet,"Pointe Coupee Parish, Louisiana, 70732, United States",True
100 Mbps,Download,37.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
10 Mbps,Upload,37.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
100 Mbps,Download,55,AT&T Internet,Internet 100,"Pointe Coupee Parish, Louisiana, 70732, United States",True
20 Mbps,Upload,55,AT&T Internet,Internet 100,"Pointe Coupee Parish, Louisiana, 70732, United States",True
100 Mbps,Download,77.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
10 Mbps,Upload,77.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
100 Mbps,Download,77.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
10 Mbps,Upload,77.99,Fidelity Communications,Internet Only,"Pointe Coupee Parish, Louisiana, 70732, United States",True
100 Mbps,Download,129.99,AT&T Internet,DIRECTV ENTERTAINMENT + AT&T Internet 100,"Pointe Coupee Parish, Louisiana, 70732, United States",True
