speed,down_up,price,name,type,address,success
1000 Mbps,Download,149,GigaBeam Networks,Super Fast,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
100 Mbps,Upload,149,GigaBeam Networks,Super Fast,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
250 Mbps,Download,109,GigaBeam Networks,The Standard,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
25 Mbps,Upload,109,GigaBeam Networks,The Standard,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
100 Mbps,Download,99,GigaBeam Networks,Premium,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
20 Mbps,Upload,99,GigaBeam Networks,Premium,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
50 Mbps,Download,79,GigaBeam Networks,Standard Wireless,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
10 Mbps,Upload,79,GigaBeam Networks,Standard Wireless,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
25 Mbps,Download,59,GigaBeam Networks,Easy Surfing,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
5 Mbps,Upload,59,GigaBeam Networks,Easy Surfing,"Woodland Drive, Pearisburg, Giles County, Virginia, 24134, United States",True
