speed,down_up,price,name,type,address,success
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® GIG,"Wyoming, Otoe County, Nebraska, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® GIG,"Wyoming, Otoe County, Nebraska, United States",True
1000 Mbps,Download,89.99,Spectrum,Spectrum Internet® Gig,"Wyoming, Otoe County, Nebraska, United States",True
35 Mbps,Upload,89.99,Spectrum,Spectrum Internet® Gig,"Wyoming, Otoe County, Nebraska, United States",True
400 Mbps,Download,69.99,Spectrum,Spectrum Internet® Ultra,"Wyoming, Otoe County, Nebraska, United States",True
20 Mbps,Upload,69.99,Spectrum,Spectrum Internet® Ultra,"Wyoming, Otoe County, Nebraska, United States",True
400 Mbps,Download,69.99,Spectrum,Spectrum Internet® Ultra,"Wyoming, Otoe County, Nebraska, United States",True
20 Mbps,Upload,69.99,Spectrum,Spectrum Internet® Ultra,"Wyoming, Otoe County, Nebraska, United States",True
400 Mbps,Download,94.99,Spectrum,Spectrum Internet® Ultra,"Wyoming, Otoe County, Nebraska, United States",True
20 Mbps,Upload,94.99,Spectrum,Spectrum Internet® Ultra,"Wyoming, Otoe County, Nebraska, United States",True
200 Mbps,Download,49.99,Spectrum,Spectrum Internet®,"Wyoming, Otoe County, Nebraska, United States",True
10 Mbps,Upload,49.99,Spectrum,Spectrum Internet®,"Wyoming, Otoe County, Nebraska, United States",True
200 Mbps,Download,84.98,Spectrum,Spectrum Mi Plan + Internet,"Wyoming, Otoe County, Nebraska, United States",True
10 Mbps,Upload,84.98,Spectrum,Spectrum Mi Plan + Internet,"Wyoming, Otoe County, Nebraska, United States",True
200 Mbps,Download,99.97,Spectrum,Spectrum Mi Plan + Internet + Voice,"Wyoming, Otoe County, Nebraska, United States",True
10 Mbps,Upload,99.97,Spectrum,Spectrum Mi Plan + Internet + Voice,"Wyoming, Otoe County, Nebraska, United States",True
200 Mbps,Download,99.98,Spectrum,Spectrum Internet + TV,"Wyoming, Otoe County, Nebraska, United States",True
10 Mbps,Upload,99.98,Spectrum,Spectrum Internet + TV,"Wyoming, Otoe County, Nebraska, United States",True
200 Mbps,Download,114.97,Spectrum,Spectrum Internet + TV + Voice,"Wyoming, Otoe County, Nebraska, United States",True
10 Mbps,Upload,114.97,Spectrum,Spectrum Internet + TV + Voice,"Wyoming, Otoe County, Nebraska, United States",True
100 Mbps,Download,49.99,Spectrum,Spectrum Internet®,"Wyoming, Otoe County, Nebraska, United States",True
10 Mbps,Upload,49.99,Spectrum,Spectrum Internet®,"Wyoming, Otoe County, Nebraska, United States",True
100 Mbps,Download,50,CenturyLink,Internet Only,"Wyoming, Otoe County, Nebraska, United States",True
100 Mbps,Download,74.95,Mountain  West Telephone,Premium+ Home Service,"Wyoming, Otoe County, Nebraska, United States",True
